Policy,Category,Indicator,Unit,rank,score
H3_Contact tracing,Economics,"Trade, total as % of GDP",percent,84,0.005756159431797382
H3_Contact tracing,Economics,Unemployment rate (%) - Annual,percent,85,0.005710051345990129
H3_Contact tracing,Demographics,Refugee population by country or territory of asylum,proportion,86,0.005683043470761336
H3_Contact tracing,Demographics,"Population, total",total,87,0.0054907684725296136
H3_Contact tracing,Economics,Volume of imports,percent change,88,0.0053543323103151935
H3_Contact tracing,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,89,0.00527634658278345
H3_Contact tracing,Environment,Electric power consumption ,kWh per capita,90,0.005264319103480167
H3_Contact tracing,Environment,"Electricity production from oil, gas and coal sources",percent of total,91,0.005196627434158899
H3_Contact tracing,Environment,"Energy imports, net ",percent of energy use,92,0.004989473744421285
H3_Contact tracing,Demographics,People using safely managed drinking water services (% of population),proportion,93,0.004918724544355957
H3_Contact tracing,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,94,0.004901069540626662
H3_Contact tracing,Demographics,"Net migration rate, per 1000 population",per thousand persons,95,0.004491136933556548
H3_Contact tracing,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,96,0.004137974865193865
H3_Contact tracing,Governance,Control of corruption estimate,score,97,0.0037972366990238135
H3_Contact tracing,Governance,Corruption Perceptions Index,score,98,0.0033287352297003353
H3_Contact tracing,Governance,Economic Freedom Score (Index),score,99,0.00322609283736443
H3_Contact tracing,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",100,0.0028798527391336306
H3_Contact tracing,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,101,0.0022786178225022466
H3_Contact tracing,Health,Hospital beds (per 10 000 population),Ones,102,0.0015966394481555298
H3_Contact tracing,Demographics,Age dependency ratio,percent of total population,103,0.0
H4_Emergency investment in healthcare,Governance,Serious assault (rate),rate,1,0.017333572962014713
H4_Emergency investment in healthcare,Demographics,Urban population (% of total population),total,2,0.01601084825917798
H4_Emergency investment in healthcare,Social issues ,Proportion of women in managerial positions (%),percent,3,0.015763899109379528
H4_Emergency investment in healthcare,Demographics,Secure Internet servers ,per 1 million people,4,0.015378700301180995
H4_Emergency investment in healthcare,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),5,0.015352103585142187
H4_Emergency investment in healthcare,Demographics,Fixed broadband subscriptions,number,6,0.015058354345878436
H4_Emergency investment in healthcare,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,7,0.014902446118881602
H4_Emergency investment in healthcare,Health,Prevalence of Hypertensive heart disease,percent,8,0.014829152817337989
H4_Emergency investment in healthcare,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,9,0.014703090926170757
H4_Emergency investment in healthcare,Demographics,"Population, total",total,10,0.014480422296782222
H4_Emergency investment in healthcare,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,11,0.014200067069049306
H4_Emergency investment in healthcare,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",12,0.014181790654423404
H4_Emergency investment in healthcare,Environment,Fossil fuel energy consumption,percent of total,13,0.01417211082668079
H4_Emergency investment in healthcare,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",14,0.01412005710492569
H4_Emergency investment in healthcare,Demographics,Rural population (% of total population),proportion,15,0.01405766350522312
H4_Emergency investment in healthcare,Demographics,Age dependency ratio (% of working-age population),proportion,16,0.013572226060241043
H4_Emergency investment in healthcare,Governance,Control of corruption estimate,score,17,0.012998242657854481
H4_Emergency investment in healthcare,Health,Prevalence of total cancers,percent,18,0.012891985691050392
H4_Emergency investment in healthcare,Health,Prevalence of Respiratory infections and tuberculosis,percent,19,0.012790120495072091
H4_Emergency investment in healthcare,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,20,0.012485700214011419
H4_Emergency investment in healthcare,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",21,0.012414455702496113
H4_Emergency investment in healthcare,Social issues ,Press freedom score,score,22,0.01229540178056294
H4_Emergency investment in healthcare,Health,Prevalence of down syndrome,percent,23,0.012157479059094232
H4_Emergency investment in healthcare,Environment,Electric power consumption ,kWh per capita,24,0.012028994379082268
H4_Emergency investment in healthcare,Health,Prevalence of Depressive disorders,percent,25,0.011860379710808049
H4_Emergency investment in healthcare,Health,"Immunization, measles (% of children ages 12-23 months)",percent,26,0.011803057810194001
H4_Emergency investment in healthcare,Health,Prevalence of anxiety disorders,percent,27,0.011788982495415502
H4_Emergency investment in healthcare,Health,Prevalence of Diabetes,percent,28,0.011779813582375892
H4_Emergency investment in healthcare,Health,Hospital beds (per 10 000 population),Ones,29,0.011755826563322037
H4_Emergency investment in healthcare,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,30,0.011664397652477499
H4_Emergency investment in healthcare,Economics,"Foreign direct investment, net",US Dollar,31,0.011640135924172096
H4_Emergency investment in healthcare,Governance,Corruption Perceptions Index,score,32,0.011340166125954322
H4_Emergency investment in healthcare,Demographics,Mobile cellular subscriptions,number,33,0.011279404096292868
H4_Emergency investment in healthcare,Health,Prevalence of obesity,percent,34,0.011158033449063503
H4_Emergency investment in healthcare,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,35,0.01106525809172464
H4_Emergency investment in healthcare,Demographics,People using at least basic sanitation services (% of population),proportion,36,0.011060392678488955
H4_Emergency investment in healthcare,Health,Prevalence of chronic kidney disease,percent,37,0.010922337303876732
H4_Emergency investment in healthcare,Social issues ,Net migration,net total / data are 5 year estimates,38,0.010899817718612733
H4_Emergency investment in healthcare,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,39,0.010749652359049984
H4_Emergency investment in healthcare,Governance,Human Development Index,index,40,0.01072652183418394
H4_Emergency investment in healthcare,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,41,0.010646482108259962
H4_Emergency investment in healthcare,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",42,0.01058270987016875
H4_Emergency investment in healthcare,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,43,0.010573991964028332
H4_Emergency investment in healthcare,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,44,0.010093834949201424
H4_Emergency investment in healthcare,Social issues ,Progression to secondary school (%),proportion,45,0.01002505721045945
H4_Emergency investment in healthcare,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,46,0.010003533645650896
H4_Emergency investment in healthcare,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,47,0.009979467242066938
H4_Emergency investment in healthcare,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",48,0.009594628754079007
H4_Emergency investment in healthcare,Social issues ,Gini index (World Bank estimate),index ,49,0.009568343417853883
H4_Emergency investment in healthcare,Health,"Nurses and midwives (per 1,000 people)",Ones,50,0.00955052122509501
H4_Emergency investment in healthcare,Health,"Physicians (per 1,000 people)",Ones,51,0.009487951605750231
H4_Emergency investment in healthcare,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",52,0.009425337156531651
H4_Emergency investment in healthcare,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,53,0.009397813054659506
H4_Emergency investment in healthcare,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,54,0.009360027712806833
H4_Emergency investment in healthcare,Social issues ,Coverage of social safety net programs (% of population),proportion,55,0.009158646084635574
H4_Emergency investment in healthcare,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,56,0.009144372734488588
H4_Emergency investment in healthcare,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,57,0.009135228876531879
H4_Emergency investment in healthcare,Governance,Economic Freedom Score (Index),score,58,0.009114216384669529
H4_Emergency investment in healthcare,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,59,0.00903554199270459
H4_Emergency investment in healthcare,Demographics,Age dependency ratio,percent of total population,60,0.008976138484345138
H4_Emergency investment in healthcare,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,61,0.00892161165293128
H4_Emergency investment in healthcare,Demographics,Refugee population by country or territory of asylum,proportion,62,0.008892145956981167
H4_Emergency investment in healthcare,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,63,0.0088559309644952
H4_Emergency investment in healthcare,Economics,"International tourism, receipts",US Dollar,64,0.008557606930386659
H4_Emergency investment in healthcare,Economics,Growth rates of household expenditure or income per capita (%),percent,65,0.008419696294964484
H4_Emergency investment in healthcare,Economics,Expenditure on social protection (% of GDP),percent,66,0.008293978431025292
H4_Emergency investment in healthcare,Economics,Expenditure on health (% of GDP),percent,67,0.008184267253739304
H4_Emergency investment in healthcare,Economics,Expenditure on education (% of GDP),percent,68,0.008151347940008671
H4_Emergency investment in healthcare,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,69,0.008137075739618069
H4_Emergency investment in healthcare,Economics,"Central government debt, total",percent of GDP,70,0.00813594569101563
H4_Emergency investment in healthcare,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,71,0.008098216128945328
H4_Emergency investment in healthcare,Economics,"Lending interest rates, percent per annum",percent per annum,72,0.008080391920281902
H4_Emergency investment in healthcare,Demographics,People using safely managed drinking water services (% of population),proportion,73,0.008032872039201264
H4_Emergency investment in healthcare,Demographics,"Net migration rate, per 1000 population",per thousand persons,74,0.007834019609859218
H4_Emergency investment in healthcare,Demographics,Mobile cellular (per 100 people),per 100 population,75,0.007753708867947783
H4_Emergency investment in healthcare,Demographics,Internet users (per 100 people),per 100 population,76,0.0076815529297200825
H4_Emergency investment in healthcare,Demographics,Individuals using the Internet,percent of population,77,0.007639397688918994
H4_Emergency investment in healthcare,Demographics,Fixed telephone subscriptions,number,78,0.007538494676516452
H4_Emergency investment in healthcare,Demographics,Fixed telephone (per 100 people),per 100 population,79,0.007386030132689348
H4_Emergency investment in healthcare,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,80,0.007290238969519062
H4_Emergency investment in healthcare,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,81,0.007240275917193446
H4_Emergency investment in healthcare,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,82,0.007224536997350261
H4_Emergency investment in healthcare,Environment,Renewable energy consumption ,percent of total final energy consumption,83,0.007171222713068807
H4_Emergency investment in healthcare,Environment,CO2 emissions (metric tons per capita),metric tons per capita,84,0.007117339230222048
H4_Emergency investment in healthcare,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,85,0.007072276841109457
H4_Emergency investment in healthcare,Environment,"Energy imports, net ",percent of energy use,86,0.007021792895155404
H4_Emergency investment in healthcare,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,87,0.006947850029680125
H4_Emergency investment in healthcare,Environment,"Electricity production from oil, gas and coal sources",percent of total,88,0.00670941598065285
H4_Emergency investment in healthcare,Environment,Electricity production from oil sources,percent of total,89,0.006692789470139038
H4_Emergency investment in healthcare,Environment,Electricity production from nuclear sources ,percent of total,90,0.006548964440929259
H4_Emergency investment in healthcare,Environment,Electricity production from coal sources ,percent of total,91,0.006239491335504185
H4_Emergency investment in healthcare,Environment,Combustible renewables and waste,percent of total energy,92,0.006145249381424901
H4_Emergency investment in healthcare,Environment,CO2 emissions (kt),kt,93,0.005835204702729004
H4_Emergency investment in healthcare,Economics,Starting a Business (Score),Score,94,0.005543341236492984
H4_Emergency investment in healthcare,Environment,Access to electricity ,percent of population,95,0.0046476809998839495
H4_Emergency investment in healthcare,Economics,Volume of imports,percent change,96,0.0046080626020169315
H4_Emergency investment in healthcare,Economics,Volume of exports,percent change,97,0.004269858558744859
H4_Emergency investment in healthcare,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,98,0.004148998407128206
H4_Emergency investment in healthcare,Economics,Unemployment rate (%) - Annual,percent,99,0.004111902301525471
H4_Emergency investment in healthcare,Economics,"Trade, total as % of GDP",percent,100,0.0038618532926103194
H4_Emergency investment in healthcare,Economics,Stock market capitalization (US$ million),percent,101,0.003365127742801989
H4_Emergency investment in healthcare,Economics,Stock market capitalization (US$ million),US Dollar,102,0.003065327313157325
H4_Emergency investment in healthcare,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
H5_Investment in vaccines,Governance,Serious assault (rate),rate,1,0.02148951474786544
H5_Investment in vaccines,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,2,0.02095509728732027
H5_Investment in vaccines,Social issues ,Proportion of women in managerial positions (%),percent,3,0.02018178887396266
H5_Investment in vaccines,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",4,0.01649453102067653
H5_Investment in vaccines,Economics,Expenditure on education (% of GDP),percent,5,0.016337408375968303
H5_Investment in vaccines,Health,Prevalence of down syndrome,percent,6,0.016153326628308155
H5_Investment in vaccines,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,7,0.015759004690183015
H5_Investment in vaccines,Health,Prevalence of Hypertensive heart disease,percent,8,0.015492025615980303
H5_Investment in vaccines,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,9,0.014733013081734352
H5_Investment in vaccines,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,10,0.014478828929529572
H5_Investment in vaccines,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",11,0.014388021432834583
H5_Investment in vaccines,Demographics,Fixed broadband subscriptions,number,12,0.014299382502979116
H5_Investment in vaccines,Environment,"Electricity production from oil, gas and coal sources",percent of total,13,0.014117173039935343
H5_Investment in vaccines,Health,Prevalence of Diabetes,percent,14,0.013987419589867232
H5_Investment in vaccines,Demographics,Rural population (% of total population),proportion,15,0.013850747430443629
H5_Investment in vaccines,Social issues ,Press freedom score,score,16,0.013699997838318316
H5_Investment in vaccines,Health,"Nurses and midwives (per 1,000 people)",Ones,17,0.013639385649230952
H5_Investment in vaccines,Demographics,People using at least basic sanitation services (% of population),proportion,18,0.01349650970395076
H5_Investment in vaccines,Economics,"International tourism, receipts",US Dollar,19,0.013418909513504005
H5_Investment in vaccines,Social issues ,Progression to secondary school (%),proportion,20,0.013216063167326004
H5_Investment in vaccines,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,21,0.013196025574911232
H5_Investment in vaccines,Demographics,Mobile cellular subscriptions,number,22,0.013100740746000365
H5_Investment in vaccines,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,23,0.013071606704537638
H5_Investment in vaccines,Health,Prevalence of Respiratory infections and tuberculosis,percent,24,0.012834285733899576
H5_Investment in vaccines,Demographics,"Population, total",total,25,0.012768766481073114
H5_Investment in vaccines,Environment,Electricity production from nuclear sources ,percent of total,26,0.012753461253814283
H5_Investment in vaccines,Health,Hospital beds (per 10 000 population),Ones,27,0.012104853306439033
H5_Investment in vaccines,Demographics,Mobile cellular (per 100 people),per 100 population,28,0.011917084530459995
H5_Investment in vaccines,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,29,0.011741804837904667
H5_Investment in vaccines,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,30,0.011652022424492219
H5_Investment in vaccines,Environment,Renewable energy consumption ,percent of total final energy consumption,31,0.011599868505219255
H5_Investment in vaccines,Demographics,Fixed telephone subscriptions,number,32,0.011366461885047667
H5_Investment in vaccines,Health,"Physicians (per 1,000 people)",Ones,33,0.01128191339790621
H5_Investment in vaccines,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",34,0.011114138592285891
H5_Investment in vaccines,Health,Prevalence of Depressive disorders,percent,35,0.011063843412421049
H5_Investment in vaccines,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",36,0.011012455664920803
H5_Investment in vaccines,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",37,0.010950234624089068
H5_Investment in vaccines,Health,"Immunization, measles (% of children ages 12-23 months)",percent,38,0.010886638098772912
H5_Investment in vaccines,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,39,0.010546827421629733
H5_Investment in vaccines,Health,Prevalence of total cancers,percent,40,0.010492249917455178
H5_Investment in vaccines,Health,Prevalence of anxiety disorders,percent,41,0.01048591216801648
H5_Investment in vaccines,Health,Prevalence of chronic kidney disease,percent,42,0.010398532285959711
H5_Investment in vaccines,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,43,0.010210293113234858
H5_Investment in vaccines,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,44,0.01009344902796186
H5_Investment in vaccines,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,45,0.010008698509054928
H5_Investment in vaccines,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,46,0.009942466546389733
H5_Investment in vaccines,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,47,0.009913868777135649
H5_Investment in vaccines,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,48,0.009748748239403908
H5_Investment in vaccines,Social issues ,Net migration,net total / data are 5 year estimates,49,0.009629027043442286
H5_Investment in vaccines,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",50,0.009564172663661183
H5_Investment in vaccines,Social issues ,Gini index (World Bank estimate),index ,51,0.00944425536940237
H5_Investment in vaccines,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,52,0.009410559109801602
H5_Investment in vaccines,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,53,0.009107360303111078
H5_Investment in vaccines,Social issues ,Coverage of social safety net programs (% of population),proportion,54,0.008925390174241243
H5_Investment in vaccines,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),55,0.00877769328150318
H5_Investment in vaccines,Governance,Economic Freedom Score (Index),score,56,0.008711933793019436
H5_Investment in vaccines,Health,Prevalence of obesity,percent,57,0.008694028083404491
H5_Investment in vaccines,Governance,Human Development Index,index,58,0.008623086687194897
H5_Investment in vaccines,Demographics,Age dependency ratio,percent of total population,59,0.008594667338349385
H5_Investment in vaccines,Governance,Corruption Perceptions Index,score,60,0.008496527357526595
H5_Investment in vaccines,Governance,Control of corruption estimate,score,61,0.008238459190831993
H5_Investment in vaccines,Economics,"Lending interest rates, percent per annum",percent per annum,62,0.008164724687746991
H5_Investment in vaccines,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,63,0.00816281727726713
H5_Investment in vaccines,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,64,0.008117261121520305
H5_Investment in vaccines,Economics,Growth rates of household expenditure or income per capita (%),percent,65,0.008070278014154041
H5_Investment in vaccines,Economics,"Foreign direct investment, net",US Dollar,66,0.007977018485599693
H5_Investment in vaccines,Economics,Expenditure on social protection (% of GDP),percent,67,0.007898298131727871
H5_Investment in vaccines,Economics,Expenditure on health (% of GDP),percent,68,0.00787895580246761
H5_Investment in vaccines,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,69,0.0077436732206449775
H5_Investment in vaccines,Economics,"Central government debt, total",percent of GDP,70,0.0075679975458328
H5_Investment in vaccines,Demographics,Urban population (% of total population),total,71,0.007532511743508462
H5_Investment in vaccines,Demographics,Secure Internet servers ,per 1 million people,72,0.0075185657471437675
H5_Investment in vaccines,Demographics,Refugee population by country or territory of asylum,proportion,73,0.00748624394522929
H5_Investment in vaccines,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,74,0.007451517177768832
H5_Investment in vaccines,Demographics,People using safely managed drinking water services (% of population),proportion,75,0.007342408436720873
H5_Investment in vaccines,Demographics,"Net migration rate, per 1000 population",per thousand persons,76,0.007254060660822359
H5_Investment in vaccines,Demographics,Internet users (per 100 people),per 100 population,77,0.00720072118155109
H5_Investment in vaccines,Demographics,Individuals using the Internet,percent of population,78,0.007148042109082296
H5_Investment in vaccines,Demographics,Fixed telephone (per 100 people),per 100 population,79,0.007125349078488606
H5_Investment in vaccines,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,80,0.007063724522420778
H5_Investment in vaccines,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,81,0.00691307470349129
H5_Investment in vaccines,Economics,Starting a Business (Score),Score,82,0.006890989359466432
H5_Investment in vaccines,Economics,Stock market capitalization (US$ million),US Dollar,83,0.006849456639567453
H5_Investment in vaccines,Environment,Electric power consumption ,kWh per capita,84,0.006802804574398457
H5_Investment in vaccines,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,85,0.0067960864187508
H5_Investment in vaccines,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,86,0.0067931745383048026
H5_Investment in vaccines,Environment,Fossil fuel energy consumption,percent of total,87,0.006672178113388791
H5_Investment in vaccines,Demographics,Age dependency ratio (% of working-age population),proportion,88,0.006083062217482151
H5_Investment in vaccines,Environment,"Energy imports, net ",percent of energy use,89,0.005915583072111473
H5_Investment in vaccines,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,90,0.005781995304449718
H5_Investment in vaccines,Environment,Electricity production from oil sources,percent of total,91,0.005602675692727433
H5_Investment in vaccines,Environment,Electricity production from coal sources ,percent of total,92,0.005362582584961532
H5_Investment in vaccines,Environment,Combustible renewables and waste,percent of total energy,93,0.005275666392635022
H5_Investment in vaccines,Economics,Stock market capitalization (US$ million),percent,94,0.005137895721007598
H5_Investment in vaccines,Environment,CO2 emissions (metric tons per capita),metric tons per capita,95,0.004425318870482044
H5_Investment in vaccines,Environment,CO2 emissions (kt),kt,96,0.004410619614822924
H5_Investment in vaccines,Environment,Access to electricity ,percent of population,97,0.0042179351392581
H5_Investment in vaccines,Economics,Volume of imports,percent change,98,0.004128325984210187
H5_Investment in vaccines,Economics,Volume of exports,percent change,99,0.0034101752194375867
H5_Investment in vaccines,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,100,0.002861933679616328
H5_Investment in vaccines,Economics,Unemployment rate (%) - Annual,percent,101,0.0011909530977296317
H5_Investment in vaccines,Economics,"Trade, total as % of GDP",percent,102,0.0011107828761570994
H5_Investment in vaccines,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
H6_Facial Coverings,Governance,Serious assault (rate),rate,1,0.019176060264263897
H6_Facial Coverings,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,2,0.017214753551042943
H6_Facial Coverings,Social issues ,Proportion of women in managerial positions (%),percent,3,0.01616213387911824
H6_Facial Coverings,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,4,0.016015029244277952
H6_Facial Coverings,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,5,0.015714319155847555
H6_Facial Coverings,Demographics,People using safely managed drinking water services (% of population),proportion,6,0.01518752424385941
H6_Facial Coverings,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,7,0.014997217817846097
H6_Facial Coverings,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,8,0.014798777653281872
H6_Facial Coverings,Health,Prevalence of Diabetes,percent,9,0.014620647867991306
H6_Facial Coverings,Environment,Renewable energy consumption ,percent of total final energy consumption,10,0.014427724034103976
H6_Facial Coverings,Economics,Expenditure on education (% of GDP),percent,11,0.014282685712628512
H6_Facial Coverings,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",12,0.014256464194322912
H6_Facial Coverings,Environment,Electricity production from nuclear sources ,percent of total,13,0.014110106663795693
H6_Facial Coverings,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",14,0.013718883864572259
H6_Facial Coverings,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,15,0.013703039045756522
H6_Facial Coverings,Environment,"Electricity production from oil, gas and coal sources",percent of total,16,0.013451365265520966
H6_Facial Coverings,Economics,"Central government debt, total",percent of GDP,17,0.013225586398780773
H6_Facial Coverings,Economics,Starting a Business (Score),Score,18,0.013161820287486406
H6_Facial Coverings,Environment,Fossil fuel energy consumption,percent of total,19,0.013037666167650902
H6_Facial Coverings,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,20,0.013004532308660232
H6_Facial Coverings,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,21,0.012977415107249708
H6_Facial Coverings,Demographics,Urban population (% of total population),total,22,0.01287415691558993
H6_Facial Coverings,Health,Prevalence of Hypertensive heart disease,percent,23,0.01280492177416117
H6_Facial Coverings,Economics,Expenditure on health (% of GDP),percent,24,0.012671388437706295
H6_Facial Coverings,Economics,Expenditure on social protection (% of GDP),percent,25,0.01256169514879649
H6_Facial Coverings,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,26,0.01255420580705816
H6_Facial Coverings,Economics,Volume of exports,percent change,27,0.012530744165256751
H6_Facial Coverings,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,28,0.012357865817714375
H6_Facial Coverings,Demographics,Age dependency ratio (% of working-age population),proportion,29,0.012339489239763766
H6_Facial Coverings,Environment,Electric power consumption ,kWh per capita,30,0.012278420291287537
H6_Facial Coverings,Demographics,"Population, total",total,31,0.01223638484862285
H6_Facial Coverings,Health,Prevalence of Respiratory infections and tuberculosis,percent,32,0.012201649762084769
H6_Facial Coverings,Demographics,Fixed broadband subscriptions,number,33,0.011900761665962142
H6_Facial Coverings,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,34,0.01185937050047855
H6_Facial Coverings,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,35,0.011836578113249403
H6_Facial Coverings,Environment,"Energy imports, net ",percent of energy use,36,0.011516635670887154
H6_Facial Coverings,Demographics,People using at least basic sanitation services (% of population),proportion,37,0.011483024445008505
H6_Facial Coverings,Social issues ,Net migration,net total / data are 5 year estimates,38,0.01144932976512798
H6_Facial Coverings,Health,"Immunization, measles (% of children ages 12-23 months)",percent,39,0.01132052583328039
H6_Facial Coverings,Social issues ,Press freedom score,score,40,0.010852575474780574
H6_Facial Coverings,Economics,"Foreign direct investment, net",US Dollar,41,0.01070999551240053
H6_Facial Coverings,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,42,0.010618334939633819
H6_Facial Coverings,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,43,0.010432645850268905
H6_Facial Coverings,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,44,0.010377302173225578
H6_Facial Coverings,Demographics,Rural population (% of total population),proportion,45,0.010305139169169194
H6_Facial Coverings,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,46,0.010283933343329124
H6_Facial Coverings,Health,Prevalence of down syndrome,percent,47,0.01016912085725594
H6_Facial Coverings,Economics,Volume of imports,percent change,48,0.01010068688435972
H6_Facial Coverings,Governance,Human Development Index,index,49,0.010045933344688864
H6_Facial Coverings,Economics,"International tourism, receipts",US Dollar,50,0.009846403415749034
H6_Facial Coverings,Governance,Corruption Perceptions Index,score,51,0.009824140279791243
